date,rain_mm,number,expver,temp_c,spatial_ref,spei
2013-07-01,118.77469,0,0001,25.826263,0,-0.26130077
2013-08-01,156.98904,0,0001,25.280548,0,-0.4452765
2013-09-01,127.578636,0,0001,25.935852,0,-0.85167354
2013-10-01,66.38783,0,0001,27.106781,0,-0.881151
2013-11-01,26.847542,0,0001,28.005646,0,-0.8805479
2013-12-01,7.808369,0,0001,26.789734,0,-0.92572963
2014-01-01,7.2678494,0,0001,27.86444,0,-0.87397885
2014-02-01,11.356793,0,0001,29.084137,0,-0.81687206
2014-03-01,44.669456,0,0001,30.008087,0,-0.8608084
2014-04-01,60.548843,0,0001,29.675415,0,-1.036852
2014-05-01,86.00267,0,0001,28.72696,0,-0.9269312
2014-06-01,131.28171,0,0001,27.644379,0,-0.6872794
2014-07-01,135.47609,0,0001,26.433777,0,-0.6163917
2014-08-01,160.00076,0,0001,25.503082,0,-0.7521748
2014-09-01,170.5769,0,0001,25.645538,0,-0.22438423
2014-10-01,71.44144,0,0001,27.061249,0,-0.18721493
2014-11-01,21.272707,0,0001,27.828552,0,-0.10154743
2014-12-01,6.4015,0,0001,27.051697,0,-0.17273337
2015-01-01,3.1539943,0,0001,26.645538,0,-0.22397655
2015-02-01,17.037622,0,0001,29.477753,0,-0.14702341
2015-03-01,45.671146,0,0001,30.073303,0,-0.05063778
2015-04-01,37.095665,0,0001,30.54181,0,-0.39239722
2015-05-01,71.52904,0,0001,29.82254,0,-0.7267595
2015-06-01,101.15895,0,0001,27.875519,0,-0.94080365
2015-07-01,151.51959,0,0001,26.530212,0,-1.0142566
2015-08-01,191.95807,0,0001,25.778412,0,-0.64336556
2015-09-01,146.72633,0,0001,26.198761,0,-1.0382289
2015-10-01,93.41241,0,0001,27.47293,0,-0.80345726
2015-11-01,18.688128,0,0001,27.994415,0,-0.91575885
2015-12-01,2.979846,0,0001,26.405396,0,-0.8627716
2016-01-01,2.467053,0,0001,27.639648,0,-0.8640138
2016-02-01,5.312334,0,0001,29.801239,0,-0.9924099
2016-03-01,55.323124,0,0001,30.69284,0,-1.0866967
2016-04-01,55.332924,0,0001,30.699371,0,-0.9116313
2016-05-01,107.82172,0,0001,29.193024,0,-0.48440495
2016-06-01,109.84009,0,0001,27.330353,0,-0.1706432
2016-07-01,165.37749,0,0001,26.213165,0,0.0148886945
2016-08-01,179.29092,0,0001,25.88507,0,-0.1677792
2016-09-01,174.5875,0,0001,26.122498,0,0.11117644
2016-10-01,65.42075,0,0001,27.691895,0,-0.32114547
2016-11-01,18.313108,0,0001,28.681458,0,-0.3230773
2016-12-01,8.268165,0,0001,28.013763,0,-0.34658816
2017-01-01,6.404433,0,0001,27.919403,0,-0.35399982
2017-02-01,8.837429,0,0001,29.767944,0,-0.35372102
2017-03-01,24.075981,0,0001,31.020111,0,-0.604817
2017-04-01,58.8555,0,0001,30.501434,0,-0.47162342
